0,1,2,3,4,5
79712.435,78054.06,78314.435,78947.41499999998,76860.31999999998,75910.18999999999
78054.06,78314.435,78947.41499999998,76860.31999999998,75910.18999999999,75831.26999999999
78314.435,78947.41499999998,76860.31999999998,75910.18999999999,75831.26999999999,75584.28999999998
78947.41499999998,76860.31999999998,75910.18999999999,75831.26999999999,75584.28999999998,76979.25999999998
76860.31999999998,75910.18999999999,75831.26999999999,75584.28999999998,76979.25999999998,76477.55999999998
75910.18999999999,75831.26999999999,75584.28999999998,76979.25999999998,76477.55999999998,75593.43
75831.26999999999,75584.28999999998,76979.25999999998,76477.55999999998,75593.43,75465.62
75584.28999999998,76979.25999999998,76477.55999999998,75593.43,75465.62,75977.54999999999
76979.25999999998,76477.55999999998,75593.43,75465.62,75977.54999999999,77018.99999999999
76477.55999999998,75593.43,75465.62,75977.54999999999,77018.99999999999,78345.40999999999
75593.43,75465.62,75977.54999999999,77018.99999999999,78345.40999999999,78110.00999999998
75465.62,75977.54999999999,77018.99999999999,78345.40999999999,78110.00999999998,77090.71999999999
75977.54999999999,77018.99999999999,78345.40999999999,78110.00999999998,77090.71999999999,77628.24999999999
77018.99999999999,78345.40999999999,78110.00999999998,77090.71999999999,77628.24999999999,79486.99999999999
78345.40999999999,78110.00999999998,77090.71999999999,77628.24999999999,79486.99999999999,79465.43999999999
78110.00999999998,77090.71999999999,77628.24999999999,79486.99999999999,79465.43999999999,79023.56499999999
77090.71999999999,77628.24999999999,79486.99999999999,79465.43999999999,79023.56499999999,80171.275
77628.24999999999,79486.99999999999,79465.43999999999,79023.56499999999,80171.275,80127.33999999998
79486.99999999999,79465.43999999999,79023.56499999999,80171.275,80127.33999999998,78894.36999999997
79465.43999999999,79023.56499999999,80171.275,80127.33999999998,78894.36999999997,78476.30999999998
79023.56499999999,80171.275,80127.33999999998,78894.36999999997,78476.30999999998,79306.49999999999
80171.275,80127.33999999998,78894.36999999997,78476.30999999998,79306.49999999999,78587.30999999998
80127.33999999998,78894.36999999997,78476.30999999998,79306.49999999999,78587.30999999998,79457.24999999999
78894.36999999997,78476.30999999998,79306.49999999999,78587.30999999998,79457.24999999999,79530.75
78476.30999999998,79306.49999999999,78587.30999999998,79457.24999999999,79530.75,79607.24999999999
79306.49999999999,78587.30999999998,79457.24999999999,79530.75,79607.24999999999,79643.99999999999
78587.30999999998,79457.24999999999,79530.75,79607.24999999999,79643.99999999999,78231.53999999998
79457.24999999999,79530.75,79607.24999999999,79643.99999999999,78231.53999999998,77800.34
79530.75,79607.24999999999,79643.99999999999,78231.53999999998,77800.34,78147.97999999998
79607.24999999999,79643.99999999999,78231.53999999998,77800.34,78147.97999999998,78495.62
