0,1,2,3,4,5
136937.004633,137729.994633,139165.45463300002,139966.45463300002,141963.434633,142006.95463300002
137729.994633,139165.45463300002,139966.45463300002,141963.434633,142006.95463300002,162938.607567
139165.45463300002,139966.45463300002,141963.434633,142006.95463300002,162938.607567,163628.587567
139966.45463300002,141963.434633,142006.95463300002,162938.607567,163628.587567,166292.65756700002
141963.434633,142006.95463300002,162938.607567,163628.587567,166292.65756700002,165669.087567
142006.95463300002,162938.607567,163628.587567,166292.65756700002,165669.087567,169952.207567
162938.607567,163628.587567,166292.65756700002,165669.087567,169952.207567,170848.62756700002
163628.587567,166292.65756700002,165669.087567,169952.207567,170848.62756700002,167327.54298199998
166292.65756700002,165669.087567,169952.207567,170848.62756700002,167327.54298199998,171040.10298199998
165669.087567,169952.207567,170848.62756700002,167327.54298199998,171040.10298199998,173300.10298199998
169952.207567,170848.62756700002,167327.54298199998,171040.10298199998,173300.10298199998,176353.13298199998
170848.62756700002,167327.54298199998,171040.10298199998,173300.10298199998,176353.13298199998,177511.582982
167327.54298199998,171040.10298199998,173300.10298199998,176353.13298199998,177511.582982,181103.102982
171040.10298199998,173300.10298199998,176353.13298199998,177511.582982,181103.102982,166617.361136
173300.10298199998,176353.13298199998,177511.582982,181103.102982,166617.361136,166744.37113599994
176353.13298199998,177511.582982,181103.102982,166617.361136,166744.37113599994,172265.32113599998
177511.582982,181103.102982,166617.361136,166744.37113599994,172265.32113599998,175090.301136
181103.102982,166617.361136,166744.37113599994,172265.32113599998,175090.301136,172120.761136
166617.361136,166744.37113599994,172265.32113599998,175090.301136,172120.761136,172957.361136
166744.37113599994,172265.32113599998,175090.301136,172120.761136,172957.361136,159549.502208
172265.32113599998,175090.301136,172120.761136,172957.361136,159549.502208,160382.372208
175090.301136,172120.761136,172957.361136,159549.502208,160382.372208,162157.632208
172120.761136,172957.361136,159549.502208,160382.372208,162157.632208,160153.372208
172957.361136,159549.502208,160382.372208,162157.632208,160153.372208,157975.012208
159549.502208,160382.372208,162157.632208,160153.372208,157975.012208,159563.372208
160382.372208,162157.632208,160153.372208,157975.012208,159563.372208,148692.821236
162157.632208,160153.372208,157975.012208,159563.372208,148692.821236,149327.701236
160153.372208,157975.012208,159563.372208,148692.821236,149327.701236,147164.78123599998
157975.012208,159563.372208,148692.821236,149327.701236,147164.78123599998,148727.40123599998
159563.372208,148692.821236,149327.701236,147164.78123599998,148727.40123599998,145950.771236
148692.821236,149327.701236,147164.78123599998,148727.40123599998,145950.771236,144104.461236
149327.701236,147164.78123599998,148727.40123599998,145950.771236,144104.461236,138497.050805
147164.78123599998,148727.40123599998,145950.771236,144104.461236,138497.050805,139268.810805
148727.40123599998,145950.771236,144104.461236,138497.050805,139268.810805,137421.500805
145950.771236,144104.461236,138497.050805,139268.810805,137421.500805,133118.950805
144104.461236,138497.050805,139268.810805,137421.500805,133118.950805,134568.490805
138497.050805,139268.810805,137421.500805,133118.950805,134568.490805,130391.460805
139268.810805,137421.500805,133118.950805,134568.490805,130391.460805,134545.59251400002
