0,1,2,3
136937.004633,137344.85457830885,137344.85457830885,146718.86286649999
137333.499633,138264.69712508033,138264.69712508033,152634.39609999995
137944.15129966667,138261.89906797334,138261.89906797334,158716.70183349994
138449.727133,138566.81458721514,138566.81458721514,164632.2350669999
139706.334633,139302.89418268594,139302.89418268594,166385.63506699994
140775.57463299998,139998.87343374378,139998.87343374378,168190.64506699995
146718.86286649999,140642.8154321952,140642.8154321952,168449.36642074992
152634.39609999995,145607.6207654167,145607.6207654167,169792.12027449993
158716.70183349994,150232.18786241376,150232.18786241376,170629.0941282499
164632.2350669999,155195.16564573743,155195.16564573743,172005.22048199992
166385.63506699994,160222.45467863057,160222.45467863057,174551.23048199993
168190.64506699995,161599.66058988922,161599.66058988922,177066.98048199993
168449.36642074992,163046.95122209442,163046.95122209442,175396.29502049994
169792.12027449993,162692.81633610433,162692.81633610433,172994.10455899994
170629.0941282499,163041.66355512055,163041.66355512055,171682.53909749995
172005.22048199992,162704.75654908962,162704.75654908962,170179.33863599994
174551.23048199993,162980.82894658635,162980.82894658635,171555.18863599995
177066.98048199993,164364.68740385646,164364.68740385646,173108.43613599997
175396.29502049994,165843.65777081874,165843.65777081874,169929.481404
172994.10455899994,163958.45577900647,163958.45577900647,166252.499172
171682.53909749995,161381.61703263863,161381.61703263863,163761.71694
170179.33863599994,159531.2178038899,159531.2178038899,160560.719708
171555.18863599995,157469.64898495658,157469.64898495658,160167.09720799996
173108.43613599997,157672.9333417664,157672.9333417664,159962.34720799996
169929.481404,158210.56349091663,158210.56349091663,156596.14446499996
166252.499172,155248.72971218254,155248.72971218254,153889.726722
163761.71694,152098.91937252798,152098.91937252798,151187.168979
160560.719708,149846.08902956673,149846.08902956673,148478.17623600003
160167.09720799996,146836.6133713982,146836.6133713982,147792.66373600002
159962.34720799996,145957.53212741142,145957.53212741142,146486.85373600002
156596.14446499996,145364.35503670084,145364.35503670084,144319.92112825002
153889.726722,142514.04641642497,142514.04641642497,141955.27352050002
151187.168979,140445.23679852937,140445.23679852937,139822.95591275
148478.17623600003,138367.2629928097,138367.2629928097,137076.57830500003
147792.66373600002,136164.42588869028,136164.42588869028,136094.43830500005
146486.85373600002,135476.81767541042,135476.81767541042,133875.10080500005
144319.92112825002,134306.8007325426,134306.8007325426,133156.12373225007
141955.27352050002,132581.70764430266,132581.70764430266,132681.65915950006
139822.95591275,130828.79647059245,130828.79647059245,131397.30958675005
137076.57830500003,129300.27074970958,129300.27074970958,131067.76751400005
136094.43830500005,126974.5086076155,126974.5086076155,129367.89251400004
133875.10080500005,126120.7751171846,126120.7751171846,128884.74751400005
133156.12373225007,124070.0113152332,124070.0113152332,128194.74806150005
132681.65915950006,123611.6928658989,123611.6928658989,127620.71110900004
131397.30958675005,123463.11768591328,123463.11768591328,127224.89665650003
131067.76751400005,122599.81682305157,122599.81682305157,126830.93720400003
129367.89251400004,122540.20829229696,122540.20829229696,127074.29720400002
128884.74751400005,121072.91045017945,121072.91045017945,126910.96970400002
128194.74806150005,120784.20052861521,120784.20052861521,124755.57554900002
127620.71110900004,120239.30975175151,121818.03410228473,122376.291394
127224.89665650003,119855.62341696129,121744.04459754002,120178.577239
126830.93720400003,119650.89651850521,122326.0681004438,118343.03808400001
127074.29720400002,119531.23496249098,122392.04523595273,118376.39308400001
126910.96970400002,120065.2810648705,121002.35648304048,117969.428084
124755.57554900002,120158.11101578429,118328.13783101043,115891.3417845
122376.291394,118115.1002555333,114089.0785308562,113729.70548499998
120178.577239,115677.07763879247,111697.25202426793,111398.40418550001
118343.03808400001,113432.66955788298,111711.20954845351,109069.87038600001
118376.39308400001,111534.82673721135,111592.1348816368,107832.180386
117969.428084,111464.07775310118,111449.90972835042,106447.690386
115891.3417845,111086.05252676486,109311.71762229575,104935.55865549999
113729.70548499998,109024.45231230893,105536.34290546499,103281.914425
111398.40418550001,106861.96175959596,102960.86183911866,101788.4376945
109069.87038600001,104535.46099652148,101280.68995237105,99828.92096399999
107832.180386,102036.93259803641,99539.16345912903,98705.78846399998
106447.690386,100523.84521232126,98990.92219368865,97502.48346399999
104935.55865549999,98993.55803737772,97535.50268366282,94711.566396
103281.914425,97536.32493886574,96358.31931997534,92292.56182799999
101788.4376945,96079.90151435915,94532.52933964002,89560.73726
99828.92096399999,94838.51428651174,93643.8817363874,87127.84269199999
98705.78846399998,92923.40392837863,91777.52643140926,86493.60019199998
97502.48346399999,91798.19665832234,89749.9022674402,86157.552692
94711.566396,90638.99299441604,87425.04460990966,85541.37519199999
92292.56182799999,87688.84826448602,83097.63348463089,85363.740192
89560.73726,85111.00486139316,80973.66920718233,84755.305192
87127.84269199999,82362.12030325951,80089.30849254757,84577.67019199999
86493.60019199998,79951.39196247933,80074.74453497413,83967.62019199999
86157.552692,79568.48390617184,81595.66026225334,82783.93519199998
85541.37519199999,79694.69721204587,82352.8798260428,82803.84190674998
85363.740192,79520.5363334905,81915.5256385859,82501.89362149997
84755.305192,79881.66581144943,82511.03843193932,82099.21283624996
84577.67019199999,79801.37589324334,81582.2214284206,81824.34455099996
83967.62019199999,80085.118712644,80783.1018378452,80274.13205099996
82783.93519199998,79666.36027425376,80217.58615598096,78716.83205099998
82803.84190674998,78424.57234039347,79214.21645367987,73223.49091324997
82501.89362149997,78708.15818218086,80378.14994168174,67621.63727549998
82099.21283624996,78858.7443280125,80236.53829995454,62245.858637749974
81824.34455099996,78781.61544321921,78732.22440168353,56072.02249999998
80274.13205099996,78703.26130684432,77323.222805351,54930.02749999998
78716.83205099998,77024.16926888099,70283.9281268515,54123.91749999998
73223.49091324997,75197.40425910943,64318.62091626796,54087.32749999998
67621.63727549998,68346.13202499176,53689.86074761741,54598.34249999998
62245.858637749974,60858.800547203544,46018.63498548088,55443.21749999997
56072.02249999998,54245.02387521648,44895.07411446848,56065.15499999997
54930.02749999998,47160.361869753586,43314.21019227172,56467.49249999997
54123.91749999998,46556.38926333774,49745.174282977525,56847.67249999997
54087.32749999998,47341.412413136284,52667.450934543886,56557.78749999997
54598.34249999998,48899.400353439094,55416.8985507367,56918.80999999997
55443.21749999997,50763.12532915991,56986.87797333914,56613.34499999997
56065.15499999997,52902.65873212775,57786.75095151205,56974.749999999985
56467.49249999997,54293.74766088561,57368.32841196627,56868.039999999986
56847.67249999997,54866.22105679964,56228.03991243195,56497.57249999999
56557.78749999997,55318.81932452557,56560.4350660553,58459.690197249976
56918.80999999997,55156.212824506045,55919.83029747081,59839.68289449998
56613.34499999997,56063.901999217305,57615.968023761976,61661.67559174998
56974.749999999985,56163.15150831653,57088.30850836947,63349.89578899998
56868.039999999986,56841.271664170185,57480.765428108156,62858.850788999975
56497.57249999999,56703.569249399545,58769.54087233415,62667.85328899998
58459.690197249976,56049.46088499294,59579.899816074685,64506.14853874997
59839.68289449998,58585.90185568054,64400.9093314585,66278.22128849998
61661.67559174998,60651.62314558422,65976.57410138834,68233.30403824997
63349.89578899998,63011.955062915775,66147.54500651475,69746.42928799998
62858.850788999975,65077.42518863821,65948.2012546757,69364.51678799998
62667.85328899998,64216.163382353305,64971.03939289326,69342.53678799998
64506.14853874997,63513.4307891323,66465.77483606263,67851.11579774998
66278.22128849998,65687.88055738382,70926.03439931938,66722.31730749998
68233.30403824997,67978.06991991127,72904.64784434103,65335.001317249975
69746.42928799998,70254.83191311701,73078.28737974075,63690.602826999966
69364.51678799998,71991.12989815373,72928.54908367281,63518.44282699996
69342.53678799998,71372.04158687535,69109.16082896104,63065.965326999954
67851.11579774998,71037.95108970598,67696.04861651677,64818.62234424996
66722.31730749998,68682.85478887649,63761.99888133537,66209.48936149996
65335.001317249975,66477.96210422099,61703.33646962291,67427.44137874997
63690.602826999966,64124.93873408486,61071.752567411895,68493.41589599998
63518.44282699996,61834.78324567394,60527.16473492533,67551.80839599998
63065.965326999954,61733.50955156129,64334.08780729894,66684.76339599998
64818.62234424996,61570.437902087666,65787.94415737496,63002.161439249976
66209.48936149996,64134.83906429544,69787.82204176148,59673.906982499975
67427.44137874997,66201.4402550315,70717.9753970064,56277.027525749974
68493.41589599998,67849.58209104055,69597.14986070934,53088.57806899998
67551.80839599998,69217.96090324469,68502.50054061168,52884.87306899998
66684.76339599998,67984.79104035383,62192.82782744021,52909.35556899998
63002.161439249976,66655.41786025946,58411.44757556384,52956.73056899998
59673.906982499975,61666.59949629397,51111.027703470376,53026.963068999976
56277.027525749974,56920.54329338485,47578.79190333669,53164.32306899998
53088.57806899998,52587.82236542589,47381.63534840461,53304.89306899997
52884.87306899998,48957.94556741317,48006.55845852152,53315.075568999964
52909.35556899998,49379.150377976766,52207.52103547478,53197.25806899996
