0,1,2,3,4,5
135334.11345816174,136362.498588739,137521.80635358885,137611.00929543775,137297.59605473003,137344.85457830885
137772.7061514982,138317.91749317216,139085.0522177388,139121.20664067252,138900.85633870462,139184.53967185185
137442.4649106462,137598.7419080584,138326.6685820139,138564.6532533396,138492.92605083928,138256.30295375935
139300.3263594118,139347.53200632086,140081.64525063575,140229.50163839213,139815.33190349763,139481.56114494058
141001.63320824903,140979.84802031674,141652.01624603296,141577.24863502267,140844.69525246506,140289.17296019205
143675.24947940581,143527.00973579384,143999.1983965589,143607.27652045692,142607.2332848595,141968.45667608318
143606.82706876413,143275.8058970335,143544.81595432828,143022.0507589583,141952.24997680832,140832.070947565
162080.7060928355,161288.23022429668,161153.71197648186,159632.1725855882,158362.8020326776,159340.7824778266
162104.57990922243,160827.0663491721,160949.48905878424,160051.33916577298,159756.02296528328,158787.4413481803
165799.6412480533,164731.45320433038,164937.64577797576,164047.17622124404,163125.5623060363,161820.36780937784
165745.99786660355,164928.33948410177,165077.6631994434,164046.88539956047,162640.3131078458,160941.22707913758
170533.4251063953,169729.52787719297,169490.80293249094,167925.24371403994,166052.64289358474,164849.60612286112
171100.31588266208,170054.4417935688,169520.45352504682,167888.75881192036,166117.5093481865,164576.60387700106
167688.15794609982,166527.77942868773,165846.76757995776,164450.1228829865,162608.5871060027,160403.82826541745
170285.23523781006,169005.21003594715,168040.17115571664,166339.71033359523,164118.08383536342,162336.61595520255
172095.50768381098,170560.4186462968,169415.16285642996,167543.05114516985,165334.167924345,163501.97809873748
175038.84784730402,173273.89070726902,171974.57874011897,169915.90491885386,167617.17101697583,165680.893466988
176116.0645823848,174214.48734691288,172826.60695795077,170682.5108767231,168281.6456872451,165939.26209449788
179314.91803322185,177306.7282123896,175731.86270006464,173278.00186834118,170616.5604503917,168252.4974230517
167594.8306240113,165773.3351048584,164399.01758168422,162585.32137131772,159984.91284941396,155961.17013148838
167702.48752359895,166057.73227304706,164298.94848420404,161968.58111465495,158563.9977610327,155373.53848151665
171110.16416240088,169129.11329231196,166940.36286349007,164111.34205997174,160871.8396692732,158537.66517950292
172746.1551049436,170326.7302043874,168018.08192693337,165253.71607133784,162481.94748197892,160006.22214731856
169653.7688286251,167166.54281829664,165051.9783571179,162674.94732652453,160039.99712011407,156774.3075587275
170632.52920465273,168301.14395921116,166206.4611258541,163660.06612208823,160608.0115256128,157524.05907811757
159957.40376198248,157941.66579654507,156103.11755140146,153970.23132415835,150964.47025203897,146690.33006456657
160907.29347633288,159069.53838123535,156860.11317454572,154175.26061106948,150551.68852972513,147406.98078870034
160989.00115024636,158909.95659196447,156434.0990656298,153611.29127080576,150419.70836205775,147762.98618688242
158369.72887641334,156081.08119928793,153644.52425773643,151161.6341343265,148435.08831676145,145486.15644544357
155690.33582908762,153458.08112023835,151191.39048022186,148959.20186720978,146272.89519531577,143174.0050886194
157140.01582580662,155057.23024314074,152831.34717299498,150470.50962250904,147592.72331032436,145034.2724258581
148356.96303722277,146505.98877469063,144571.61478481337,142623.17560078567,139984.2860824797,136361.75170577894
149077.7249224287,147441.68110321625,145295.36420185954,142971.54032019057,139843.39619596137,137210.91797386116
146336.82308902964,144631.69590080378,142404.55700975173,140150.72861964913,137426.19211553416,134862.10986574073
147157.32359252986,145344.05039552128,143045.8320411732,140843.598061568,138319.70208077587,136222.92400938043
144039.17315888125,142213.07736946107,140117.79967356948,138267.97547860414,136087.5266869312,133611.3188526595
142568.8316034619,140914.32060734328,138969.49025602522,137208.77646873676,134910.29373103997,132530.8502023898
137862.23957253294,136407.24547050524,134613.81424381604,132963.63913461595,130654.2505837856,127961.73751278101
138807.47613994638,137462.3465384679,135533.24699639704,133630.16277583758,131115.6127464217,129211.27931453967
136778.7040754184,135342.00530112023,133407.78994125218,131635.27143744458,129500.48165009086,127497.21596912802
132382.1411783339,130932.81809913562,129108.9166915096,127575.16278990633,125625.82470249308,123227.80163401352
133241.1160686526,131850.87605830343,130009.03624046862,128364.71722244208,126261.78562860582,124546.80355105746
129490.81843869614,128104.0286310474,126412.008247333,124971.85927033436,123143.64841412465,121008.22410673407
133592.78557991615,132247.99306720725,130498.92536642867,128846.79382044826,126830.75181415986,125663.94217179084
130427.21138309578,129031.67709618904,127487.73121649367,126151.78893638225,124573.30137218018,122633.50091407102
128888.4474170348,127629.9231910043,126178.21405208408,124853.73279013849,123071.80223911742,121093.60009961064
128426.57631645244,127257.58551145671,125802.35346441517,124371.84126047637,122492.31359628541,120769.7899837156
127311.5527625086,126135.82018212121,124676.76779569105,123249.9305202991,121484.41817523184,119794.7508033208
128614.92962364481,127402.90381906563,125927.35391167706,124477.21124409784,122796.61883063067,121478.66122781407
125927.1027474958,124689.722579777,123363.58892190206,122145.77312198652,120718.75077825048,118914.03699215583
126028.7118779821,124899.04809610441,123628.79185897567,122371.0806117424,120774.50922648975,119235.04464455473
125580.3705952691,124500.2125954341,123280.90302959844,122027.36903927452,120473.00645564066,118975.84320949645
127279.41696647501,126214.20984500858,125000.71671284417,123701.98638906123,122178.12042469907,121000.01500375716
127118.1893908585,126033.96649703737,124914.64671367727,123747.19594168768,122426.15166327509,121050.2214016739
125646.30119284932,124634.55899407227,123622.12939858862,122557.81457092402,121235.4219374331,119606.36444820985
117515.42924882052,116652.5613136923,115753.96196898827,114825.96319590962,113399.57537221044,110803.80016849248
117990.06345556102,117283.94840787267,116100.67429246382,114673.1628395327,112660.35952926577,111247.92453679384
118489.29192331363,117540.95546113681,116171.71409825754,114675.4894130012,113074.8200858438,112072.58907803598
118096.86110926542,116912.78062464306,115595.68887729342,114347.37645810617,113199.87340977543,112014.99316552328
116447.59812261832,115255.79764421414,114148.08428986165,113131.3452457943,112076.00623281783,110520.80423205187
115614.41382796457,114592.49947984656,113630.56710396321,112589.01568262106,111294.72699909616,109735.82363144851
110290.21568490585,109417.59200421088,108509.54095479108,107438.29928339075,105996.80195131378,103826.1882202122
109982.67175453911,109209.97176048253,108059.61337198592,106601.12940975545,104787.41998022153,103365.03095467133
107869.24414175977,106899.28773124359,105582.11666888934,104103.75107883719,102628.2738768695,101214.80117975395
106210.69468998985,105076.86026078653,103722.65570086417,102345.6282483659,101111.22239331988,99741.71003750822
104028.35555737377,102849.06702094646,101595.49337312023,100360.18861468867,99246.76458000441,97773.83867735161
103210.84919529749,102118.25856849022,100965.50751068794,99743.25007051435,98548.0654852469,97243.88225489718
101313.09229921417,100304.37068019593,99221.51597020427,98018.91543200599,96818.50927560186,95385.86878570609
